"","dayindex","dayofyear","day","year","mo","temp","dewp","NUM_COLLISIONS"
"2923",2923,1,5,2021,1,39.6,29.3,0.295698924731183
"2924",2924,2,6,2021,1,47.4,42.5,0.0967741935483871
"2926",2926,4,1,2021,1,41.2,37.8,0.21505376344086
"2927",2927,5,2,2021,1,38.7,36.1,0.139784946236559
"2928",2928,6,3,2021,1,37.4,31.2,0.0967741935483871
"2929",2929,7,4,2021,1,36.5,26.1,0.446236559139785
"2930",2930,8,5,2021,1,33.3,24.9,0.376344086021505
"2931",2931,9,6,2021,1,32.9,26.8,0.225806451612903
"2933",2933,11,1,2021,1,32.6,27.9,0.193548387096774
"2934",2934,12,2,2021,1,37,29.1,0.413978494623656
"2935",2935,13,3,2021,1,35.8,25.2,0.231182795698925
"2936",2936,14,4,2021,1,41.3,35.5,0.274193548387097
"2937",2937,15,5,2021,1,41.3,35.3,0.376344086021505
"2938",2938,16,6,2021,1,45.4,42.1,0.338709677419355
"2939",2939,17,7,2021,1,40.8,31,0.043010752688172
"2940",2940,18,1,2021,1,42.6,31,0.123655913978495
"2941",2941,19,2,2021,1,35.8,23.9,0.317204301075269
"2942",2942,20,3,2021,1,34.7,25.5,0.274193548387097
"2943",2943,21,4,2021,1,30.9,20.6,0.263440860215054
"2944",2944,22,5,2021,1,36.5,28.4,0.279569892473118
"2945",2945,23,6,2021,1,32.2,19,0.263440860215054
"2946",2946,24,7,2021,1,24.7,7.5,0.0537634408602151
"2947",2947,25,1,2021,1,26.6,12.3,0.311827956989247
"2948",2948,26,2,2021,1,31.9,23.4,0.327956989247312
"2949",2949,27,3,2021,1,34.6,33.8,0.32258064516129
"2950",2950,28,4,2021,1,35.3,34.5,0.32258064516129
"2951",2951,29,5,2021,1,18.1,8.9,0.478494623655914
"2952",2952,30,6,2021,1,19.2,11.2,0.440860215053763
"2953",2953,31,7,2021,1,22.2,13.6,0.510752688172043
"2954",2954,32,1,2021,2,33.7,29.5,0.198924731182796
"2955",2955,33,2,2021,2,41.8,41.6,0.193548387096774
"2956",2956,34,3,2021,2,34.1,31.9,0.236559139784946
"2957",2957,35,4,2021,2,33.3,27.6,0.403225806451613
"2958",2958,36,5,2021,2,37.2,34.4,0.666666666666667
"2959",2959,37,6,2021,2,38.9,31.7,0.39247311827957
"2960",2960,38,7,2021,2,35.1,31.2,0.220430107526882
"2961",2961,39,1,2021,2,27.6,20.5,0.532258064516129
"2962",2962,40,2,2021,2,26.1,21.2,0.145161290322581
"2963",2963,41,3,2021,2,29.4,23.4,0.413978494623656
"2964",2964,42,4,2021,2,26.2,18.5,0.521505376344086
"2965",2965,43,5,2021,2,22.5,10.9,0.473118279569892
"2966",2966,44,6,2021,2,27.6,18.2,0.043010752688172
"2968",2968,46,1,2021,2,37,36.1,0.032258064516129
"2969",2969,47,2,2021,2,42.7,42.7,0.0591397849462366
"2970",2970,48,3,2021,2,32.6,21.3,0.198924731182796
"2971",2971,49,4,2021,2,29.2,19.5,0.290322580645161
"2972",2972,50,5,2021,2,33.1,32,0
"2973",2973,51,6,2021,2,31.5,28.4,0.295698924731183
"2974",2974,52,7,2021,2,26.8,16.8,0.032258064516129
"2975",2975,53,1,2021,2,32.4,25.3,0.231182795698925
"2976",2976,54,2,2021,2,38.5,35.3,0.204301075268817
"2977",2977,55,3,2021,2,39.9,34.1,0.349462365591398
"2978",2978,56,4,2021,2,42.9,31.8,0.360215053763441
"2979",2979,57,5,2021,2,34.7,16.7,0.532258064516129
"2980",2980,58,6,2021,2,39.1,33.4,0.112903225806452
"2981",2981,59,7,2021,2,41.6,38.8,0.0537634408602151
"2982",2982,60,1,2021,3,43.5,43,0.118279569892473
"2983",2983,61,2,2021,3,26.1,8.7,0.354838709677419
"2984",2984,62,3,2021,3,38.2,26,0.225806451612903
"2985",2985,63,4,2021,3,39.3,32.2,0.32258064516129
"2986",2986,64,5,2021,3,30.2,9.5,0.559139784946237
"2987",2987,65,6,2021,3,31,14.7,0.263440860215054
"2988",2988,66,7,2021,3,28.7,15.7,0.0752688172043011
"2989",2989,67,1,2021,3,32.6,22.7,0.258064516129032
"2990",2990,68,2,2021,3,42.1,34.7,0.521505376344086
"2991",2991,69,3,2021,3,39.7,33.9,0.118279569892473
"2992",2992,70,4,2021,3,45.1,42.4,0.456989247311828
"2993",2993,71,5,2021,3,47.8,44.1,0.731182795698925
"2994",2994,72,6,2021,3,39.1,23.1,0.268817204301075
"2995",2995,73,7,2021,3,39.8,25.1,0.225806451612903
"2996",2996,74,1,2021,3,22.1,6.4,0.274193548387097
"2997",2997,75,2,2021,3,28.4,14.5,0.188172043010753
"2998",2998,76,3,2021,3,38.5,29.9,0.220430107526882
"2999",2999,77,4,2021,3,41.4,40.2,0.225806451612903
"3000",3000,78,5,2021,3,33.6,26.3,0.575268817204301
"3001",3001,79,6,2021,3,37.9,27.9,0.435483870967742
"3002",3002,80,7,2021,3,40.8,35.9,0.317204301075269
"3003",3003,81,1,2021,3,46.2,36.4,0.5
"3004",3004,82,2,2021,3,51.1,45.3,0.435483870967742
"3005",3005,83,3,2021,3,47.2,45.6,0.354838709677419
"3006",3006,84,4,2021,3,51.9,50.6,0.295698924731183
"3007",3007,85,5,2021,3,51.3,51.3,0.720430107526882
"3008",3008,86,6,2021,3,49.9,40.6,0.661290322580645
"3010",3010,88,1,2021,3,47.9,35.9,0.204301075268817
"3011",3011,89,2,2021,3,43.7,35.5,0.424731182795699
"3012",3012,90,3,2021,3,51.3,48.1,0.440860215053763
"3013",3013,91,4,2021,4,48.2,47.6,0.327956989247312
"3014",3014,92,5,2021,4,37.1,25.3,0.435483870967742
"3015",3015,93,6,2021,4,36.6,23.4,0.424731182795699
"3016",3016,94,7,2021,4,46.3,30.8,0.306451612903226
"3017",3017,95,1,2021,4,45.9,36.2,0.354838709677419
"3018",3018,96,2,2021,4,47.5,39,0.623655913978495
"3019",3019,97,3,2021,4,50.2,43.4,0.543010752688172
"3020",3020,98,4,2021,4,47,42.7,0.580645161290323
"3021",3021,99,5,2021,4,47.6,43.2,0.424731182795699
"3022",3022,100,6,2021,4,44.4,43.1,0.494623655913978
"3023",3023,101,7,2021,4,48.2,47.3,0.0698924731182796
"3024",3024,102,1,2021,4,45.3,39.7,0.333333333333333
"3025",3025,103,2,2021,4,45.5,39.2,0.639784946236559
"3026",3026,104,3,2021,4,46.1,37.9,0.5
"3027",3027,105,4,2021,4,43.8,37.3,0.365591397849462
"3028",3028,106,5,2021,4,43.8,40.8,0.516129032258065
"3029",3029,107,6,2021,4,42,37.1,0.338709677419355
"3030",3030,108,7,2021,4,47.2,38.8,0.301075268817204
"3031",3031,109,1,2021,4,50.9,43.1,0.634408602150538
"3032",3032,110,2,2021,4,50.3,44.5,0.596774193548387
"3033",3033,111,3,2021,4,53.4,48.6,0.435483870967742
"3034",3034,112,4,2021,4,43,29,0.268817204301075
